コード,銘柄名
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ
137A,Ｃｏｃｏｌｉｖｅ
138A,光フードサービス
1401,エムビーエス
141A,トライアルホールディングス
142A,ジンジブ
1431,Ｌｉｂ　Ｗｏｒｋ
1436,グリーンエナジー＆カンパニー
143A,イシン
1444,ニッソウ
1447,ＳＡＡＦホールディングス
145A,Ｌ　ｉｓ　Ｂ
147A,ソラコム
148A,ハッチ・ワーク
149A,シンカ
150A,ＪＳＨ
151A,ダイブ
153A,カウリス
155A,情報戦略テクノロジー
156A,マテリアルグループ
157A,グリーンモンスター
165A,ＳＢＩレオスひふみ
166A,タスキホールディングス
168A,イタミアート
173A,ハンモック
175A,Ｗｉｌｌ　Ｓｍａｒｔ
176A,レジル
177A,コージンバイオ
184A,学びエイド
186A,アストロスケールホールディングス
189A,Ｄ＆Ｍカンパニー
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ
192A,インテグループ
194A,ＷＯＬＶＥＳ　ＨＡＮＤ
195A,ライスカレー
196A,ＭＦＳ
198A,ＰｏｓｔＰｒｉｍｅ
202A,豆蔵デジタルホールディングス
205A,ロゴスホールディングス
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ
2158,ＦＲＯＮＴＥＯ
215A,タイミー
2160,ジーエヌアイグループ
2164,地域新聞社
2173,博展
218A,Ｌｉｂｅｒａｗａｒｅ
2195,アミタホールディングス
219A,Ｈｅａｒｔｓｅｅｄ
228A,オプロ
2321,ソフトフロントホールディングス
2334,イオレ
2342,トランスジェニックグループ
2351,ＡＳＪ
2370,メディネット
2385,総医研ホールディングス
2388,ウェッジホールディングス
241A,ＲＯＸＸ
2438,アスカネット
244A,グロースエクスパートナーズ
245A,ＩＮＧＳ
246A,アスア
2479,ジェイテック
247A,Ａｉロボティクス
248A,キッズスター
2497,ユナイテッド
2586,フルッタフルッタ
260A,オルツ
264A,Ｓｃｈｏｏ
265A,Ｈｍｃｏｍｍ
269A,Ｓａｐｅｅｔ
276A,ククレブ・アドバイザーズ
277A,グロービング
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ
280A,ＴＭＨ
281A,インフォメティス
286A,ユカリア
288A,ラクサス・テクノロジーズ
290A,Ｓｙｎｓｐｅｃｔｉｖｅ
291A,リスキル
2934,ジェイフロンティア
2936,ベースフード
2937,サンクゼール
296A,令和アカウンティング・ホールディングス
2978,ツクルバ
2981,ランディックス
2983,アールプランナー
2986,ＬＡホールディングス
298A,ＧＶＡ　ＴＥＣＨ
2997,ストレージ王
2998,クリアル
299A,ｄｅｌｙ
302A,ビースタイルホールディングス
303A,ｖｉｓｕｍｏ
3042,セキュアヴェイル
304A,フォルシア
3063,ジェイグループホールディングス
